time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/reward,train/value_loss,train/approx_kl,train/entropy_loss,train/loss,train/learning_rate,train/clip_range,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/std,train/explained_variance
1,2048,13,154,-15.075747,,,,,,,,,,,
2,4096,27,148,-76.88125,644.8905870437623,66.061745,-194.22717390060424,252.34063720703125,0.01,0.2,10,0.9912109375,0.31758513217791917,2.1266212463378906,-0.002183079719543457
3,6144,42,144,-57.233315,15269.337387084961,63.51532,-274.9539357185364,9805.54296875,0.01,0.2,20,0.993359375,0.2641743178712204,3.9017505645751953,0.0001361370086669922
4,8192,56,145,-54.920868,11828.043545532226,88.81613,-329.76241302490234,5753.291015625,0.01,0.2,30,0.985791015625,0.27293418530607594,5.697904109954834,0.0002402663230895996
5,10240,70,145,72.17454,16118.704034423828,74.38176,-364.3077865600586,6663.9111328125,0.01,0.2,40,0.966064453125,0.2580746177583933,7.467202186584473,0.000164031982421875
6,12288,84,146,-12.872878,14571.608715820312,28.065384,-397.10272998809813,9775.1611328125,0.01,0.2,50,0.98642578125,0.262705106229987,10.709171295166016,-5.0187110900878906e-05
7,14336,97,146,157.04213,24550.25437011719,34.08359,-432.5777561187744,9610.60546875,0.01,0.2,60,0.978271484375,0.2448939685127698,14.761520385742188,-4.5299530029296875e-05
8,16384,112,146,-281.8616,31657.010217285155,28.140999,-465.18289241790774,33531.8203125,0.01,0.2,70,0.96748046875,0.2224545758916065,19.1666202545166,1.6093254089355469e-06
9,18432,126,145,-1.5880735,24353.617193603517,25.87851,-481.9008506774902,17079.65625,0.01,0.2,80,0.8701171875,0.1454999005261925,22.32526206970215,-1.1920928955078125e-07
10,20480,141,144,6.528827,15703.222833251953,29.182068,-502.94939136505127,9017.419921875,0.01,0.2,90,0.944921875,0.24802030990831553,27.976388931274414,-2.384185791015625e-07
11,22528,155,144,40.960453,13405.663873291016,19.258047,-521.8133680343628,10934.787109375,0.01,0.2,100,0.917626953125,0.23006639456143602,35.12860870361328,-2.384185791015625e-07
12,24576,169,144,239.27681,9675.979411315919,11.095837,-545.2966945648193,2750.4072265625,0.01,0.2,110,0.964404296875,0.24979434501146897,41.89332962036133,0.0
13,26624,185,143,-161.03807,9606.436096191406,12.42807,-563.5688297271729,3081.241455078125,0.01,0.2,120,0.9302734375,0.2343613068864215,50.83599090576172,1.1920928955078125e-07
