time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/reward,train/value_loss,train/approx_kl,train/entropy_loss,train/loss,train/learning_rate,train/clip_range,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/std,train/explained_variance
36,73728,545,135,24.6698,21773.017578125,0.6281168,-683.8906021118164,9881.27734375,0.01,0.2,350,0.835302734375,0.10212995790643617,156.84933471679688,4.7206878662109375e-05
37,75776,559,135,-76.587006,20898.623785400392,2.0828545,-689.3697925567627,9168.171875,0.01,0.2,360,0.87109375,0.13493065477814525,169.01351928710938,-0.0001264810562133789
38,77824,575,135,-12.062688,20278.980767822264,2.0127416,-696.3207244873047,5455.0185546875,0.01,0.2,370,0.801953125,0.1395011485205032,183.15196228027344,-1.7881393432617188e-06
39,79872,589,135,-150.54735,14163.293920898437,1.8475407,-703.0022369384766,5179.72021484375,0.01,0.2,380,0.732666015625,0.09484746793168597,196.96702575683594,-9.5367431640625e-07
40,81920,603,135,-626.72705,22408.490008544923,0.3517857,-707.1269969940186,8845.3095703125,0.01,0.2,390,0.67939453125,0.07809874678496272,202.0265350341797,-1.430511474609375e-06
41,83968,618,135,34.964916,20113.75145263672,0.25424644,-709.7929439544678,10260.587890625,0.01,0.2,400,0.71328125,0.062383307673735545,206.8613739013672,1.5497207641601562e-06
42,86016,634,135,5.866174,26977.548498535158,0.426382,-711.1190841674804,12945.3642578125,0.01,0.2,410,0.7619140625,0.07307526144431904,210.12774658203125,0.0
43,88064,649,135,-80.76326,23221.320770263672,0.15907721,-713.7427909851074,12848.2138671875,0.01,0.2,420,0.5498046875,0.0120067896990804,213.31088256835938,-3.5762786865234375e-07
44,90112,664,135,54.22991,20153.260235595702,0.7426929,-715.9975929260254,4395.09228515625,0.01,0.2,430,0.6607421875,0.05131336034683045,218.2407684326172,1.7881393432617188e-07
45,92160,679,135,12.090587,14962.359838867187,0.12496208,-719.0069602966308,10006.05859375,0.01,0.2,440,0.686669921875,0.019886508736817632,221.90626525878906,-1.1920928955078125e-07
46,94208,693,135,-9.929287,16110.504537963867,0.5243362,-720.819635772705,4671.98046875,0.01,0.2,450,0.633837890625,0.04736557493743021,232.3534393310547,0.0
47,96256,707,136,28.023321,10830.557727050782,0.73565245,-724.6015434265137,3577.422119140625,0.01,0.2,460,0.78935546875,0.1016544688201975,240.7049560546875,0.0
48,98304,721,136,22.689383,10998.253204345703,0.8231871,-728.3047534942627,5549.06298828125,0.01,0.2,470,0.6646484375,0.08138391746324487,253.0668487548828,6.413459777832031e-05
49,100352,735,136,51.093178,13979.280950927734,1.2517521,-734.4533645629883,8842.76171875,0.01,0.2,480,0.8294921875,0.14557981775142254,276.7746887207031,2.586841583251953e-05
50,102400,749,136,83.94295,17002.92035522461,0.18141204,-738.1531280517578,6810.533203125,0.01,0.2,490,0.669677734375,0.054953013901831584,280.4429016113281,1.5497207641601562e-05
51,104448,764,136,9.360797,10343.755548095703,1.2364085,-741.2802410125732,6055.3154296875,0.01,0.2,500,0.80380859375,0.11343146717408673,295.08001708984375,4.70280647277832e-05
52,106496,778,136,93.476326,13555.804730224609,0.89593875,-744.404296875,6944.5703125,0.01,0.2,510,0.795263671875,0.10344157967192587,305.06610107421875,0.00011807680130004883
53,108544,794,136,-137.61859,10792.99107055664,0.7899438,-748.3748485565186,9302.697265625,0.01,0.2,520,0.83173828125,0.11030423881602473,318.5390625,0.0002078413963317871
54,110592,808,136,-37.04185,12798.183389282227,0.34357595,-752.5973594665527,8905.6455078125,0.01,0.2,530,0.792041015625,0.07357250526256394,324.4050598144531,-3.24249267578125e-05
55,112640,822,136,-20.576681,12792.100057983398,0.7176315,-755.0137023925781,3846.2158203125,0.01,0.2,540,0.69345703125,0.04994935124996118,339.56005859375,2.3066997528076172e-05
56,114688,836,137,-2.552129,13260.007174682618,0.10034895,-758.401469039917,7880.38818359375,0.01,0.2,550,0.575927734375,-0.0047333613692899235,343.6755065917969,8.976459503173828e-05
57,116736,850,137,50.46288,15116.042782592773,1.3997612,-761.1686683654785,4578.22021484375,0.01,0.2,560,0.7990234375,0.11293338724644855,360.5393981933594,-3.933906555175781e-06
58,118784,865,137,197.73285,16337.426809692382,0.15690199,-765.3452377319336,9348.2607421875,0.01,0.2,570,0.61513671875,0.02687883437902201,367.8409118652344,4.166364669799805e-05
59,120832,879,137,35.018826,15656.812591552734,0.08913238,-766.6650119781494,5794.09130859375,0.01,0.2,580,0.52080078125,-0.003455402993131429,375.6351013183594,-4.6133995056152344e-05
60,122880,894,137,-56.93238,17985.396194458008,0.37912658,-769.596789932251,6051.2021484375,0.01,0.2,590,0.729833984375,0.048971119825728236,387.489990234375,8.821487426757812e-05
61,124928,908,137,-368.98834,16535.95296936035,0.81749,-772.6175807952881,14817.5791015625,0.01,0.2,600,0.7138671875,0.04312748251686571,404.9088439941406,9.387731552124023e-05
62,126976,923,137,-55.56699,21642.25718688965,0.9425207,-776.6990886688233,13031.423828125,0.01,0.2,610,0.8546875,0.12702404458541422,413.99639892578125,-6.0677528381347656e-05
