,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,turbulence,consumer_confidence_usa,consumer_confidence_cn,cpi_cn,news_sentiment_scope,vix,type
0,2022-06-30,IT,241.8300018310547,241.8300018310547,243.88999938964844,237.33999633789062,533200.0,3.0,0.0,241.9532580332692,235.13673830462142,100.0,66.66666666666666,100.0,237.33999633789062,237.33999633789062,0.0,98.7,88.9,-0.2,1.1469478006205094,29.420000076293945,1
1,2022-07-01,IT,244.27999877929688,244.27999877929688,245.4600067138672,239.75,319200.0,4.0,0.05407059498321587,241.9532580332692,235.13673830462142,100.0,66.66666666666666,100.0,238.5449981689453,238.5449981689453,0.0,95.7,87.9,0.0,1.1335391548008005,29.530000686645508,1
2,2022-07-05,IT,241.2100067138672,241.2100067138672,241.69000244140625,239.49000549316406,366700.0,1.0,0.0608342562102564,241.50553195745056,236.21446926325257,89.96030237133034,-57.42774911977141,24.38282792260307,238.86000061035156,238.86000061035156,0.0,95.7,87.9,0.0,1.1335391548008005,27.3700008392334,1
3,2022-07-06,IT,241.77000427246094,241.77000427246094,244.08999633789062,242.94000244140625,349300.0,2.0,0.1869804345394641,244.49652635022932,235.26347578600115,95.77836904685569,59.50153023673332,13.203908173541794,239.88000106811523,239.88000106811523,0.0,95.7,87.9,0.0,1.1335391548008005,27.84000015258789,1
4,2022-07-07,IT,245.02000427246094,245.02000427246094,246.1199951171875,243.35000610351562,367600.0,3.0,0.2679049614925759,245.63532376195482,235.51268038843583,96.05913346596125,115.89787699902543,27.320235511443318,240.57400207519532,240.57400207519532,0.0,95.7,87.9,0.0,1.1335391548008005,26.729999542236328,1
5,2022-07-08,IT,242.6300048828125,242.6300048828125,244.8000030517578,244.02000427246094,307000.0,4.0,0.34016536823483534,246.47845796244437,235.81821358703482,96.4574158647671,57.06580781618014,10.193995976241263,241.1483357747396,241.1483357747396,0.0,95.7,87.9,0.0,1.1335391548008005,26.40999984741211,1
6,2022-07-11,IT,244.3699951171875,244.3699951171875,245.77999877929688,240.4499969482422,439400.0,0.0,0.21892009326114703,245.94283926291553,236.15430690756438,61.9476010769481,39.412441073763794,24.50366630473284,241.04857308523995,241.04857308523995,0.0,95.7,87.9,0.0,1.1335391548008005,26.420000076293945,1
7,2022-07-12,IT,237.75,237.75,248.0800018310547,242.7899932861328,376700.0,1.0,0.24539124794571876,245.96179490580423,236.5707063148989,69.37659235724996,0.16967177496136512,24.50366630473284,241.26625061035156,241.26625061035156,0.0,95.7,87.9,0.0,1.1335391548008005,27.139999389648438,1
8,2022-07-13,IT,238.27000427246094,238.27000427246094,240.32000732421875,233.5399932861328,260900.0,2.0,-0.19893787806171304,247.17706509449118,233.63849005416336,38.577745234106544,-193.08834057431625,31.290092069349207,240.40777757432727,240.40777757432727,0.0,95.7,87.9,0.0,1.1335391548008005,27.350000381469727,1
9,2022-07-14,IT,235.8000030517578,235.8000030517578,236.3000030517578,234.49000549316406,332700.0,3.0,-0.462304212848494,247.214634799535,232.4173659328869,41.34431919781766,-173.6720274130394,44.95105401665507,239.81600036621094,239.81600036621094,0.0,95.7,87.9,0.0,1.1335391548008005,27.469999313354492,1
10,2022-07-15,IT,240.69000244140625,240.69000244140625,241.64999389648438,239.24000549316406,338900.0,4.0,-0.3930745042345052,246.79118698235564,232.73608740951224,52.42741240517463,-28.969199627682645,15.175055649459706,239.76363719593394,239.76363719593394,0.0,95.7,87.9,0.0,1.1335391548008005,26.719999313354492,1
